n,knob_mf,knob_sl,knob_sf,knob_ift,knob_sft,knob_dt,time,error
210,1000,2,1.05,30,3,40,0.067623534,0.093588
211,1000,2,1.05,30,3,20,0.0491485193,0.581936
212,1000,2,1.05,30,3,60,0.0681861905,0.092816
213,1000,2,1.05,30,15,40,0.0251981236,0.73265
214,1000,2,1.05,30,15,20,0.0208531304,0.723593
215,1000,2,1.05,30,15,60,0.0254369989,0.735506
216,1000,4,1.2,20,7,40,0.0578279898,0.096451
217,1000,4,1.2,20,7,20,0.0529417619,0.0967
218,1000,4,1.2,20,7,60,0.0586264354,0.09307
219,1000,4,1.2,20,3,40,0.0695877857,0.09945
220,1000,4,1.2,20,3,20,0.0655296202,0.09088
221,1000,4,1.2,20,3,60,0.0685550998,0.091048
222,1000,4,1.2,20,15,40,0.0449552721,0.097441
223,1000,4,1.2,20,15,20,0.035751644,0.100683
224,1000,4,1.2,20,15,60,0.0382792653,0.1187
225,1000,4,1.2,10,7,40,0.0575502483,0.100181
226,1000,4,1.2,10,7,20,0.0592288594,0.102216
227,1000,4,1.2,10,7,60,0.0602123549,0.096939
228,1000,4,1.2,10,3,40,0.0657166803,0.09498
229,1000,4,1.2,10,3,20,0.0640054048,0.092217
230,1000,4,1.2,10,3,60,0.0646748175,0.093128
231,1000,4,1.2,30,7,40,0.0623062687,0.096895
232,1000,4,1.2,30,7,20,0.0615024263,0.095653
233,1000,4,1.2,30,7,60,0.0608504943,0.092828
234,1000,4,1.2,30,3,40,0.072136661,0.100615
235,1000,4,1.2,30,3,20,0.0676305068,0.093288
236,1000,4,1.2,30,3,60,0.0707678469,0.090328
237,1000,4,1.2,30,15,40,0.0474622256,0.112124
238,1000,4,1.2,30,15,20,0.0352473957,0.09893
239,1000,4,1.2,30,15,60,0.0382432982,0.102081
240,1000,4,1.1,20,7,40,0.0622909048,0.096693
241,1000,4,1.1,20,7,20,0.0549113322,0.097793
242,1000,4,1.1,20,7,60,0.0537143254,0.0963
243,1000,4,1.1,20,3,40,0.0712534229,0.100729
244,1000,4,1.1,20,3,20,0.0635976077,0.09379
245,1000,4,1.1,20,3,60,0.0657328991,0.08967
246,1000,4,1.1,20,15,40,0.0458733231,0.106322
247,1000,4,1.1,20,15,20,0.0428236474,0.094263
248,1000,4,1.1,20,15,60,0.0426254615,0.1278
249,1000,4,1.1,10,7,40,0.0617238424,0.099068
250,1000,4,1.1,10,7,20,0.0611958492,0.099232
251,1000,4,1.1,10,7,60,0.0607811179,0.094287
252,1000,4,1.1,10,3,40,0.0679870159,0.098019
253,1000,4,1.1,10,3,20,0.0631408934,0.095375
254,1000,4,1.1,10,3,60,0.0694681667,0.09099
255,1000,4,1.1,30,7,40,0.06369161,0.098853
256,1000,4,1.1,30,7,20,0.0580540034,0.094351
257,1000,4,1.1,30,7,60,0.0615368345,0.098067
258,1000,4,1.1,30,3,40,0.0695469478,0.09672
259,1000,4,1.1,30,3,20,0.0727362596,0.092326
260,1000,4,1.1,30,3,60,0.0682739739,0.091088
261,1000,4,1.1,30,15,40,0.0460640227,0.105502
262,1000,4,1.1,30,15,20,0.0369635828,0.092195
263,1000,4,1.1,30,15,60,0.0387810771,0.112283
264,1000,4,1.3,20,7,40,0.0547105306,0.094918
265,1000,4,1.3,20,7,20,0.0449897574,0.567373
266,1000,4,1.3,20,7,60,0.0547140975,0.090483
267,1000,4,1.3,20,3,40,0.0700519002,0.097851
268,1000,4,1.3,20,3,20,0.0643421066,0.097825
269,1000,4,1.3,20,3,60,0.0701598492,0.093239
270,1000,4,1.3,20,15,40,0.0526754286,0.102604
271,1000,4,1.3,20,15,20,0.0402042698,0.091403
272,1000,4,1.3,20,15,60,0.0385957823,0.115635
273,1000,4,1.3,10,7,40,0.0610498084,0.098193
274,1000,4,1.3,10,7,20,0.0630261712,0.096567
275,1000,4,1.3,10,7,60,0.0647566156,0.092944
276,1000,4,1.3,10,3,40,0.0651755828,0.102295
277,1000,4,1.3,10,3,20,0.0660677347,0.093496
278,1000,4,1.3,10,3,60,0.0720289773,0.094091
279,1000,4,1.3,30,7,40,0.0627796905,0.095747
280,1000,4,1.3,30,7,20,0.0585828379,0.099344
281,1000,4,1.3,30,7,60,0.0629983764,0.095767
282,1000,4,1.3,30,3,40,0.0785114671,0.101436
283,1000,4,1.3,30,3,20,0.0683032336,0.095132
284,1000,4,1.3,30,3,60,0.0803297596,0.093041
285,1000,4,1.3,30,15,40,0.044834983,0.101476
286,1000,4,1.3,30,15,20,0.0341105556,0.093201
287,1000,4,1.3,30,15,60,0.0327737744,0.096247
288,1000,4,1.5,20,7,40,0.0610900147,0.100466
289,1000,4,1.5,20,7,20,0.0542109558,0.096332
290,1000,4,1.5,20,7,60,0.0584324206,0.094035
291,1000,4,1.5,20,3,40,0.075536898,0.098362
292,1000,4,1.5,20,3,20,0.0504497381,0.585848
293,1000,4,1.5,20,3,60,0.0709589989,0.085258
294,1000,4,1.5,20,15,40,0.0478747472,0.098356
295,1000,4,1.5,20,15,20,0.0384627914,0.097949
296,1000,4,1.5,20,15,60,0.036290924,0.113173
297,1000,4,1.5,10,7,40,0.0653548503,0.098907
298,1000,4,1.5,10,7,20,0.054001729,0.587946
299,1000,4,1.5,10,7,60,0.0671875703,0.094134
300,1000,4,1.5,10,3,40,0.0790383776,0.099398
301,1000,4,1.5,10,3,20,0.0679328651,0.106714
302,1000,4,1.5,10,3,60,0.0797671406,0.092681
303,1000,4,1.5,30,7,40,0.0596861009,0.096152
304,1000,4,1.5,30,7,20,0.0444133617,0.596622
305,1000,4,1.5,30,7,60,0.0533482528,0.093021
306,1000,4,1.5,30,3,40,0.0822778821,0.094423
307,1000,4,1.5,30,3,20,0.0697104025,0.096932
308,1000,4,1.5,30,3,60,0.0713210193,0.093536
309,1000,4,1.5,30,15,40,0.024954424,0.735644
310,1000,4,1.5,30,15,20,0.0239514626,0.735665
311,1000,4,1.5,30,15,60,0.0271682653,0.732375
312,1000,4,1.05,20,7,40,0.0615889195,0.097693
313,1000,4,1.05,20,7,20,0.0457204887,0.575042
314,1000,4,1.05,20,7,60,0.0613523764,0.097263
315,1000,4,1.05,20,3,40,0.070837381,0.094447
316,1000,4,1.05,20,3,20,0.0725190351,0.094623
317,1000,4,1.05,20,3,60,0.0750992664,0.089661
318,1000,4,1.05,20,15,40,0.0493825986,0.093251
319,1000,4,1.05,20,15,20,0.0428921304,0.094702
320,1000,4,1.05,20,15,60,0.0457218152,0.262765
321,1000,4,1.05,10,7,40,0.0668447007,0.095857
322,1000,4,1.05,10,7,20,0.0619995125,0.096501
323,1000,4,1.05,10,7,60,0.0664096984,0.095356
324,1000,4,1.05,10,3,40,0.068959839,0.095354
325,1000,4,1.05,10,3,20,0.0666991701,0.095518
326,1000,4,1.05,10,3,60,0.0685191803,0.090211
327,1000,4,1.05,30,7,40,0.0659995522,0.098324
328,1000,4,1.05,30,7,20,0.0532000907,0.578572
329,1000,4,1.05,30,7,60,0.0731232449,0.096581
330,1000,4,1.05,30,3,40,0.0753974909,0.094327
331,1000,4,1.05,30,3,20,0.0700617551,0.091668
332,1000,4,1.05,30,3,60,0.0752850986,0.09189
333,1000,4,1.05,30,15,40,0.0502902574,0.107946
334,1000,4,1.05,30,15,20,0.0432118934,0.101025
335,1000,4,1.05,30,15,60,0.0453198957,0.112866
336,1000,16,1.1,20,7,40,0.0590730068,0.097237
337,1000,16,1.1,20,7,20,0.0685801882,0.10539
338,1000,16,1.1,20,7,60,0.0590761293,0.090365
339,1000,16,1.1,20,3,40,0.0797596882,0.093631
340,1000,16,1.1,20,3,20,0.077562602,0.092731
341,1000,16,1.1,20,3,60,0.0655294399,0.093425
342,1000,16,1.1,20,15,40,0.0539998311,0.090904
343,1000,16,1.1,20,15,20,0.0534387971,0.096119
344,1000,16,1.1,20,15,60,0.051515873,0.098411
345,1000,16,1.1,10,7,40,0.064590805,0.092657
346,1000,16,1.1,10,7,20,0.0737576349,0.096344
347,1000,16,1.1,10,7,60,0.0609963141,0.090472
348,1000,16,1.1,10,3,40,0.0776784184,0.098983
349,1000,16,1.1,10,3,20,0.0795360023,0.100548
350,1000,16,1.1,10,3,60,0.0632802574,0.080207
351,1000,16,1.1,30,7,40,0.0638206859,0.088148
352,1000,16,1.1,30,7,20,0.0573360454,0.59316
353,1000,16,1.1,30,7,60,0.0580437755,0.089354
354,1000,16,1.1,30,3,40,0.0826798469,0.09805
355,1000,16,1.1,30,3,20,0.0856211304,0.095901
356,1000,16,1.1,30,3,60,0.0686392766,0.071172
357,1000,16,1.1,30,15,40,0.0514802098,0.096977
358,1000,16,1.1,30,15,20,0.0525058265,0.097854
359,1000,16,1.1,30,15,60,0.0470601757,0.091864
360,1000,16,1.05,20,7,40,0.0685184172,0.092881
361,1000,16,1.05,20,7,20,0.0758723073,0.100396
362,1000,16,1.05,20,7,60,0.0603666485,0.092545
363,1000,16,1.05,20,3,40,0.0903480737,0.097006
364,1000,16,1.05,20,3,20,0.0876537596,0.082466
365,1000,16,1.05,20,3,60,0.0760812506,0.083992
366,1000,16,1.05,20,15,40,0.0594986304,0.094983
367,1000,16,1.05,20,15,20,0.0613485249,0.097311
368,1000,16,1.05,20,15,60,0.0558862891,0.092217
369,1000,16,1.05,10,7,40,0.068885763,0.095274
370,1000,16,1.05,10,7,20,0.0777583878,0.099656
371,1000,16,1.05,10,7,60,0.0663818571,0.091782
372,1000,16,1.05,10,3,40,0.080638085,0.090411
373,1000,16,1.05,10,3,20,0.0870214218,0.093074
374,1000,16,1.05,10,3,60,0.0707489887,0.09223
375,1000,16,1.05,30,7,40,0.0704828662,0.096726
376,1000,16,1.05,30,7,20,0.066451941,0.584002
377,1000,16,1.05,30,7,60,0.0697427177,0.090071
378,1000,16,1.05,30,3,40,0.0896773571,0.094708
379,1000,16,1.05,30,3,20,0.0946818878,0.091939
380,1000,16,1.05,30,3,60,0.0750719467,0.081612
381,1000,16,1.05,30,15,40,0.0597787778,0.096998
382,1000,16,1.05,30,15,20,0.0618146111,0.101324
383,1000,16,1.05,30,15,60,0.0559631893,0.088943
384,1000,32,1.05,20,7,40,0.0738329671,0.095195
385,1000,32,1.05,20,7,20,0.085635458,0.099301
386,1000,32,1.05,20,7,60,0.0713948141,0.075763
387,1000,32,1.05,20,3,40,0.0893135873,0.095408
388,1000,32,1.05,20,3,20,0.0982805635,0.094624
389,1000,32,1.05,20,3,60,0.078142907,0.070268
390,1000,32,1.05,20,15,40,0.0664428889,0.094421
391,1000,32,1.05,20,15,20,0.0689182823,0.105239
392,1000,32,1.05,20,15,60,0.0640965079,0.091037
393,1000,32,1.05,10,7,40,0.079546593,0.091856
394,1000,32,1.05,10,7,20,0.0859259206,0.099902
395,1000,32,1.05,10,7,60,0.0713129172,0.093092
396,1000,32,1.05,10,3,40,0.0884105952,0.091081
397,1000,32,1.05,10,3,20,0.0942144195,0.090549
398,1000,32,1.05,10,3,60,0.0763350669,0.087774
399,1000,32,1.05,30,7,40,0.0778831179,0.086466
400,1000,32,1.05,30,7,20,0.0927386735,0.097116
401,1000,32,1.05,30,7,60,0.0727241066,0.089632
402,1000,32,1.05,30,3,40,0.095556085,0.094844
403,1000,32,1.05,30,3,20,0.1004122494,0.086459
404,1000,32,1.05,30,3,60,0.0817678821,0.084147
405,1000,32,1.05,30,15,40,0.0683534694,0.098339
406,1000,32,1.05,30,15,20,0.068318839,0.090038
407,1000,32,1.05,30,15,60,0.0626054059,0.09077
1224,500,8,1.2,20,7,40,0.041408966,0.097463
1225,500,8,1.2,20,7,20,0.0419720703,0.09605
1226,500,8,1.2,20,7,60,0.0309867608,0.100133
1227,500,8,1.2,20,3,40,0.050184432,0.095958
1228,500,8,1.2,20,3,20,0.044596195,0.085989
1229,500,8,1.2,20,3,60,0.0390925737,0.096259
1230,500,8,1.2,20,15,40,0.0341379184,0.096405
1231,500,8,1.2,20,15,20,0.033108941,0.097252
1232,500,8,1.2,20,15,60,0.0295873776,0.101138
1233,500,8,1.2,10,7,40,0.0417927336,0.094785
1234,500,8,1.2,10,7,20,0.0407278526,0.096695
1235,500,8,1.2,10,7,60,0.0308946054,0.091884
1236,500,8,1.2,10,3,40,0.0488595204,0.100641
1237,500,8,1.2,10,3,20,0.044690788,0.097206
1238,500,8,1.2,10,3,60,0.0344642324,0.086637
1239,500,8,1.2,30,7,40,0.0398856111,0.097232
1240,500,8,1.2,30,7,20,0.0387876848,0.093043
1241,500,8,1.2,30,7,60,0.0307463912,0.094354
1242,500,8,1.2,30,3,40,0.053275119,0.101448
1243,500,8,1.2,30,3,20,0.0454000499,0.095194
1244,500,8,1.2,30,3,60,0.0380119807,0.085986
1245,500,8,1.2,30,15,40,0.0335617404,0.099714
1246,500,8,1.2,30,15,20,0.0319741553,0.09043
1247,500,8,1.2,30,15,60,0.0270406043,0.095373
1248,500,8,1.1,20,7,40,0.0429878662,0.097927
